"Model","Lifespan"
"GA Systems 00644",91049
"GA Systems 00644",88674
"Microswitch Type 3",103897
"Navette B1-0122",130141
"Microswitch Type 3",98006
"GA Systems 00644",85723
"Microswitch Type 3",93007
"GA Systems 00644",76295
"Microswitch Type 3",90008
"GA Systems 00644",88248
"Navette B1-0122",122695
"Microswitch Type 3",92775
"Navette B1-0122",136208
"Microswitch Type 3",92533
"GA Systems 00644",114698
"Navette B1-0122",120417
"Navette B1-0122",97098
"Navette B1-0122",127032
"GA Systems 00644",105813
"GA Systems 00644",100583
"GA Systems 00644",89901
"GA Systems 00644",74134
"Navette B1-0122",93339
"Microswitch Type 3",88290
"GA Systems 00644",76581
"GA Systems 00644",97778
"GA Systems 00644",97992
"GA Systems 00644",100655
"Microswitch Type 3",90114
"Microswitch Type 3",98108
"Navette B1-0122",118031
"GA Systems 00644",80634
"Microswitch Type 3",86767
"GA Systems 00644",86798
"Navette B1-0122",180789
"GA Systems 00644",84864
"Microswitch Type 3",95946
"GA Systems 00644",99563
"Microswitch Type 3",83545
"GA Systems 00644",95251
"Microswitch Type 3",103207
"GA Systems 00644",94982
"Navette B1-0122",109677
"Navette B1-0122",106008
"Navette B1-0122",103169
"Navette B1-0122",133751
"Microswitch Type 3",110896
"GA Systems 00644",75599
"Microswitch Type 3",86631
"Navette B1-0122",161567
"Navette B1-0122",132380
"Navette B1-0122",104550
"Microswitch Type 3",102792
"GA Systems 00644",101660
"Navette B1-0122",137877
"Microswitch Type 3",103496
"Microswitch Type 3",105704
"Microswitch Type 3",106985
"GA Systems 00644",82811
"Microswitch Type 3",89413
"Microswitch Type 3",97010
"Microswitch Type 3",93349
"Microswitch Type 3",120225
"Navette B1-0122",155771
"Navette B1-0122",114476
"Navette B1-0122",99591
"Microswitch Type 3",112070
"GA Systems 00644",77811
"GA Systems 00644",97979
"Navette B1-0122",131206
"Microswitch Type 3",91000
"Microswitch Type 3",94041
"Navette B1-0122",114482
"Navette B1-0122",123363
"Navette B1-0122",96787
"GA Systems 00644",81854
"Navette B1-0122",106433
"GA Systems 00644",86730
"Navette B1-0122",135896
"GA Systems 00644",85346
"GA Systems 00644",56651
"GA Systems 00644",79647
"Microswitch Type 3",102127
"Microswitch Type 3",117128
"Navette B1-0122",125143
"Navette B1-0122",145871
"Microswitch Type 3",106638
"Navette B1-0122",122632
"Microswitch Type 3",115722
"Microswitch Type 3",105851
"Navette B1-0122",96069
"Microswitch Type 3",86524
"GA Systems 00644",85504
"Microswitch Type 3",95179
"GA Systems 00644",95247
"Navette B1-0122",100083
"Navette B1-0122",149692
"Navette B1-0122",146267
"Navette B1-0122",140336
"GA Systems 00644",88954
"Navette B1-0122",136138
"Microswitch Type 3",107116
"Navette B1-0122",128055
"Navette B1-0122",110083
"Navette B1-0122",146332
"GA Systems 00644",87970
"Navette B1-0122",122473
"GA Systems 00644",87925
"Microswitch Type 3",105080
"GA Systems 00644",87916
"GA Systems 00644",82214
"Microswitch Type 3",105987
"GA Systems 00644",71095
"Microswitch Type 3",106680
"Microswitch Type 3",107004
"GA Systems 00644",71544
"GA Systems 00644",83497
"Microswitch Type 3",107043
"Navette B1-0122",126514
"Navette B1-0122",114612
"Navette B1-0122",126739
"Microswitch Type 3",122916
"GA Systems 00644",97960
"GA Systems 00644",96664
"GA Systems 00644",69472
"Navette B1-0122",117178
"Navette B1-0122",135627
"GA Systems 00644",94948
"Microswitch Type 3",95784
"Microswitch Type 3",96443
"Navette B1-0122",140615
"Microswitch Type 3",99358
"Navette B1-0122",144990
"Navette B1-0122",114541
"Navette B1-0122",129795
"GA Systems 00644",83076
"Microswitch Type 3",89207
"Microswitch Type 3",101329
"Microswitch Type 3",106580
"Microswitch Type 3",87107
"GA Systems 00644",83344
"GA Systems 00644",88669
"GA Systems 00644",88116
"Microswitch Type 3",102957
"GA Systems 00644",106637
"Navette B1-0122",89487
"Navette B1-0122",116930
"Microswitch Type 3",103955
"Microswitch Type 3",99223
"GA Systems 00644",81142
"GA Systems 00644",98436
"Microswitch Type 3",96615
"Navette B1-0122",124485
"GA Systems 00644",90561
"Navette B1-0122",134903
"GA Systems 00644",79476
"GA Systems 00644",100074
"Navette B1-0122",114324
"Navette B1-0122",103476
"Microswitch Type 3",116303
"Microswitch Type 3",115187
"Navette B1-0122",134081
"Navette B1-0122",110999
"Microswitch Type 3",105265
"GA Systems 00644",99967
"Microswitch Type 3",92893
"Navette B1-0122",106931
"Microswitch Type 3",109768
"Microswitch Type 3",106398
"GA Systems 00644",106877
"Microswitch Type 3",110273
"Navette B1-0122",100740
"GA Systems 00644",97774
"GA Systems 00644",88166
"GA Systems 00644",97516
"GA Systems 00644",98939
"Navette B1-0122",125473
"Microswitch Type 3",90147
"GA Systems 00644",86405
"Navette B1-0122",103280
"Navette B1-0122",125263
"Microswitch Type 3",101729
"GA Systems 00644",85693
"Navette B1-0122",141914
"Microswitch Type 3",104670
"GA Systems 00644",87621
"Microswitch Type 3",90000
"GA Systems 00644",77078
"Microswitch Type 3",96516
"GA Systems 00644",91070
"Navette B1-0122",132460
"Navette B1-0122",114916
"GA Systems 00644",111023
"Navette B1-0122",119970
"Microswitch Type 3",96019
"Microswitch Type 3",97481
"GA Systems 00644",90488
"Navette B1-0122",132033
"Navette B1-0122",98436
"GA Systems 00644",83468
"Microswitch Type 3",105135
"Navette B1-0122",142182
"Microswitch Type 3",102802
"Navette B1-0122",138293
"Navette B1-0122",105075
"GA Systems 00644",92919
"Navette B1-0122",135593
"GA Systems 00644",94021
"Microswitch Type 3",126209
"Navette B1-0122",118607
"Microswitch Type 3",96909
"Navette B1-0122",113213
"GA Systems 00644",79897
"Navette B1-0122",99519
"GA Systems 00644",80759
"Navette B1-0122",91005
"GA Systems 00644",89465
"Navette B1-0122",162783
"GA Systems 00644",96008
"Microswitch Type 3",96649
"Navette B1-0122",138651
"Microswitch Type 3",97709
"Navette B1-0122",127942
"GA Systems 00644",77210
"GA Systems 00644",108256
"Navette B1-0122",93151
"GA Systems 00644",83547
"Microswitch Type 3",106242
"Navette B1-0122",156531
"Navette B1-0122",113969
"GA Systems 00644",70523
"Navette B1-0122",88230
"Microswitch Type 3",116934
"Navette B1-0122",106095
"Navette B1-0122",121095
"Microswitch Type 3",95219
"GA Systems 00644",104158
"Microswitch Type 3",77294
"Navette B1-0122",117058
"GA Systems 00644",87219
"Microswitch Type 3",82589
"Navette B1-0122",174762
"Navette B1-0122",145242
"Navette B1-0122",99699
"Navette B1-0122",128009
"Navette B1-0122",102183
"GA Systems 00644",76433
"Navette B1-0122",134816
"Navette B1-0122",133143
"GA Systems 00644",106146
"Microswitch Type 3",104762
"Navette B1-0122",120205
"Navette B1-0122",106858
"Navette B1-0122",160407
"GA Systems 00644",84630
"Navette B1-0122",133301
"GA Systems 00644",85936
"GA Systems 00644",92611
"Navette B1-0122",135082
"GA Systems 00644",84810
"Navette B1-0122",143486
"GA Systems 00644",85405
"GA Systems 00644",78545
"GA Systems 00644",99348
"Microswitch Type 3",100987
"Navette B1-0122",148440
"GA Systems 00644",80985
"Microswitch Type 3",123739
"GA Systems 00644",84041
"Navette B1-0122",122929
"GA Systems 00644",74535
"Navette B1-0122",127684
"Microswitch Type 3",111086
